"","id","nc","c1.x","c1.y","c2.x","c2.y","c3.x","c3.y","c4.x","c4.y","c5.x","c5.y","dc.km.1_2","dc.km.1_3","dc.km.1_4","dc.km.1_5","dc.km.2_3","dc.km.2_4","dc.km.2_5","dc.km.3_4","dc.km.3_5","dc.km.4_5","o.1_2","o.1_3","o.1_4","o.1_5","o.2_3","o.2_4","o.2_5","o.3_4","o.3_5","o.4_5","p.1_2","p.1_3","p.1_4","p.1_5","p.2_3","p.2_4","p.2_5","p.3_4","p.3_5","p.4_5","dur1.td","dur2.td","dur3.td","dur4.td","dur5.td"
"55","year1.C2087gy","2",746732.242400232,4764551.2610374,715787.430169761,4704438.22444682,NA,NA,NA,NA,NA,NA,67.6103436769872,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1243055555556,296.25,NA,NA,NA
"56","year1.C2101yw","2",716276.897644188,4764569.38096754,701652.512855949,4764321.02406755,NA,NA,NA,NA,NA,NA,14.6264934821803,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00819674857321207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.1256944444444,259.657638888889,NA,NA,NA
"57","year1.C2106yw","2",705676.383632096,4767189.10433172,705414.064276871,4765620.26404722,NA,NA,NA,NA,NA,NA,1.59061977933392,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00135382905958513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.284722222222,80.11875,NA,NA,NA
"58","year1.C2109yw","2",739221.077084105,4766891.86417639,701966.212035849,4780918.66021677,NA,NA,NA,NA,NA,NA,39.8079888580479,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93533367973522e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,338.998611111111,NA,NA,NA
"59","year1.C2129pk","3",747302.343624393,4765016.67504107,745350.497046285,4763871.04405955,746968.69275803,4763481.71657936,NA,NA,NA,NA,2.26322235105083,1.57080246364816,NA,NA,1.66437172781251,NA,NA,NA,NA,NA,0.000602183810641146,0.0153774896098603,NA,NA,0.022683751498669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6270833333333,47.1131944444444,141.248611111111,NA,NA
"60","year1.C2131pk","2",712666.902029855,4767720.69969359,711341.053995881,4768628.78392821,NA,NA,NA,NA,NA,NA,1.60701275239649,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00391593745232232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.29375,123.158333333333,NA,NA,NA
"61","year1.C2148be","2",741799.835624441,4764918.79118226,750822.719747676,4772928.02748815,NA,NA,NA,NA,NA,NA,12.0648375084329,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4583333333333,294.125694444444,NA,NA,NA
"62","year2.C1032oe","5",705252.307482555,4765177.8843819,700815.76221612,4764375.40892201,699771.941892684,4768925.29088664,703296.011276698,4769181.56447679,702229.392890688,4771576.66928165,4.50853643268499,6.63908596949963,4.45606879965869,7.07689627046627,4.66808170018949,5.40839778670483,7.3386989617565,3.53337532344873,3.61508959793468,2.62186990668969,5.39986531902403e-05,0,8.61550228946349e-05,0,0.00121617896877303,0,0,0.00987857866261818,0.00251437727565445,0.00123358124186891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5006944444444,46.7486111111111,77.1222222222222,79.2444444444444,40.2416666666667
"63","year2.C1042be","2",675384.21760826,4764640.19551421,670092.099377595,4761644.18894245,NA,NA,NA,NA,NA,NA,6.08132968562991,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00265063620778635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.865277777778,212.868055555556,NA,NA,NA
"64","year2.C1048be","3",740934.713869775,4774646.0639061,746840.24718195,4769041.16836281,741428.820682785,4775818.26945444,NA,NA,NA,NA,8.14187802367045,1.27208780759256,NA,NA,8.67252189169706,NA,NA,NA,NA,NA,0,0.00758490457104931,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.742361111111,3.5,81.4916666666667,NA,NA
